,departure_continent,departure_continent_name,inside,dep_lon,dep_lat,seats,ask,fuel_burn,co2,CO2 (Mt),ASK (Bn),Seats (Mn)
0,AF,Africa,False,17.7578122,11.5024338,90173935.38377295,307713348944.2296,7148267486.672754,22588525257.885902,22.588525257885905,307.7133489442296,90.17393538377296
1,AF,Africa,True,17.7578122,11.5024338,93709655.90576866,99373800830.1006,2625928875.4577374,8297935246.44645,8.29793524644645,99.37380083010059,93.70965590576867
2,AS,Asia,False,89.2343748,51.2086975,232631149.40321252,1230999472194.7163,30881319641.369877,97584970066.7288,97.58497006672881,1230.9994721947164,232.63114940321256
3,AS,Asia,True,89.2343748,51.2086975,2012099795.1779869,2876875568992.0854,71831686677.57465,226988129901.1359,226.9881299011359,2876.8755689920854,2012.0997951779868
4,EU,Europe,False,10.0,51.0,293913178.11774063,1414880515989.6511,34559239396.31091,109207196492.34248,109.20719649234249,1414.880515989651,293.91317811774064
5,EU,Europe,True,10.0,51.0,1023187863.6901423,1107244282780.349,27484263271.165802,86850271936.88394,86.85027193688394,1107.244282780349,1023.1878636901423
6,NA,North America,False,-109.0,51.0000002,130696096.07852833,969288077874.4751,25061538069.511192,79194460299.65536,79.19446029965536,969.2880778744751,130.69609607852834
7,NA,North America,True,-109.0,51.0000002,1258925739.3240118,1811721383187.4707,45864220038.576805,144930935321.9027,144.93093532190272,1811.7213831874706,1258.9257393240118
8,OC,Oceania,False,173.7741688,-12.7725835,40279162.645825274,278676154012.2717,6969356689.04972,22023167137.397114,22.023167137397117,278.67615401227175,40.27916264582528
9,OC,Oceania,True,173.7741688,-12.7725835,128069866.37820727,148245157620.05045,3841258174.632452,12138375831.838549,12.138375831838548,148.24515762005043,128.06986637820728
10,SA,South America,False,-61.0006565,-21.0002179,30267930.431872647,183116169901.77142,4585016599.101127,14488652453.159561,14.488652453159562,183.11616990177143,30.267930431872646
11,SA,South America,True,-61.0006565,-21.0002179,235647431.18590537,236285453430.03973,6381929643.087334,20166897672.155975,20.166897672155972,236.28545343003972,235.64743118590536
