,departure_continent,departure_continent_name,inside,dep_lon,dep_lat,seats,ask,fuel_burn,co2,n_flights,CO2 (Mt),ASK (Bn),Seats (Mn)
0,AF,Africa,False,17.7578122,11.5024338,7688198.933524598,42641088907.94637,1103367789.557309,3486642215.0010962,35188,3.486642215001096,42.641088907946376,7.688198933524597
1,AF,Africa,True,17.7578122,11.5024338,3196006.701137934,3916786577.1357975,95768430.836447,302628241.4431725,26212,0.3026282414431725,3.9167865771357975,3.1960067011379336
2,AS,Asia,False,89.2343748,51.2086975,74401694.49851531,510555779071.6096,13203042990.811153,41721615850.96325,284407,41.721615850963246,510.55577907160966,74.4016944985153
3,AS,Asia,True,89.2343748,51.2086975,178486825.29826337,333290621160.32153,8395321791.230765,26529216860.28922,961003,26.52921686028922,333.2906211603215,178.48682529826337
4,EU,Europe,False,10.0,51.0,102680778.9911755,625440875252.9292,15893934857.908518,50224834150.99091,419188,50.224834150990915,625.4408752529293,102.68077899117549
5,EU,Europe,True,10.0,51.0,501751879.48714775,516595732988.3475,13127408299.77072,41482610227.275475,3765911,41.48261022727547,516.5957329883474,501.7518794871478
6,NA,North America,False,-109.0,51.0000002,65292527.188748166,517781427359.38324,13399090283.683996,42341125296.44143,248869,42.341125296441426,517.7814273593832,65.29252718874817
7,NA,North America,True,-109.0,51.0000002,525895898.15319145,859188354017.7633,21570388479.347363,68162427594.73767,6010943,68.16242759473768,859.1883540177632,525.8958981531914
8,OC,Oceania,False,173.7741688,-12.7725835,13995874.209111437,130579625590.33804,3438981735.5600734,10867182284.369833,47176,10.867182284369832,130.57962559033805,13.99587420911144
9,OC,Oceania,True,173.7741688,-12.7725835,62047548.4193176,79159235870.20639,1911989836.603608,6041887883.667401,533274,6.041887883667401,79.15923587020639,62.04754841931761
10,SA,South America,False,-61.0006565,-21.0002179,6886778.904002901,58700787557.93572,1525406918.8438694,4820285863.546628,29042,4.820285863546627,58.700787557935726,6.886778904002901
11,SA,South America,True,-61.0006565,-21.0002179,15441222.57091863,12371783531.511051,337674212.58312416,1067050511.7626723,115598,1.0670505117626723,12.371783531511051,15.44122257091863
