,departure_continent,departure_continent_name,arrival_continent,arrival_continent_name,seats,ask,fuel_burn,co2,n_flights,CO2 (Mt),ASK (Bn),Seats (Mn),dep_lon,dep_lat,arr_lon,arr_lat
0,AF,Africa,AF,Africa,3459808.764228356,4159493881.398495,102655267.56106532,324390645.4929664,32448,0.3243906454929664,4.159493881398495,3.459808764228356,17.7578122,11.5024338,7.7578122,11.5024338
1,AF,Africa,AS,Asia,1855554.3974818662,13014980776.158743,325090896.2597396,1027287232.1807771,6011,1.027287232180777,13.014980776158744,1.8555543974818662,17.7578122,11.5024338,79.2343748,51.2086975
2,AF,Africa,EU,Europe,6237245.424912409,28255980712.614986,721995238.9430479,2281504955.0600314,31589,2.2815049550600315,28.255980712614985,6.237245424912409,17.7578122,11.5024338,0.0,51.0
3,AF,Africa,NA,North America,381007.61033556896,4280016527.80264,120625877.63539247,381177773.3278402,1507,0.3811777733278402,4.28001652780264,0.38100761033556896,17.7578122,11.5024338,-119.0,51.0000002
4,AF,Africa,OC,Oceania,171516.05966877306,1675070661.1670356,52113991.30151572,164680212.5127897,553,0.1646802125127897,1.6750706611670356,0.1715160596687731,17.7578122,11.5024338,163.7741688,-12.7725835
5,AF,Africa,SA,South America,256378.73117895957,1755289432.9173064,43403201.38122881,137154116.36468303,1029,0.13715411636468303,1.7552894329173063,0.25637873117895954,17.7578122,11.5024338,-71.00065649999999,-21.0002179
6,AS,Asia,AF,Africa,1686352.5003322582,11834087082.031487,297413129.13175803,939825488.0563555,5423,0.9398254880563555,11.834087082031486,1.6863525003322581,89.2343748,51.2086975,7.7578122,11.5024338
7,AS,Asia,AS,Asia,194260064.62190634,358424106696.7211,9071725956.89748,28666654023.796036,1057622,28.666654023796035,358.4241066967211,194.26006462190634,89.2343748,51.2086975,79.2343748,51.2086975
8,AS,Asia,EU,Europe,55064400.65554213,294515025841.1951,7397495358.558849,23376085333.045963,225520,23.376085333045964,294.51502584119515,55.06440065554213,89.2343748,51.2086975,0.0,51.0
9,AS,Asia,NA,North America,16003627.691798406,166364594737.75427,4491979371.545263,14194654814.083033,54527,14.194654814083034,166.36459473775426,16.003627691798407,89.2343748,51.2086975,-119.0,51.0000002
10,AS,Asia,OC,Oceania,9506041.982359815,75711003827.45006,1963050457.0557296,6203239444.296105,32736,6.203239444296106,75.71100382745006,9.506041982359815,89.2343748,51.2086975,163.7741688,-12.7725835
11,AS,Asia,SA,South America,330599.0367886624,4100007202.6781282,113455685.44910127,358519966.01916,1070,0.35851996601916,4.100007202678128,0.3305990367886624,89.2343748,51.2086975,-71.00065649999999,-21.0002179
12,EU,Europe,AF,Africa,5419180.06346773,24267774950.21549,630042387.6463282,1990933944.9623976,27563,1.9909339449623975,24.267774950215486,5.41918006346773,10.0,51.0,7.7578122,11.5024338
13,EU,Europe,AS,Asia,53292072.92737389,286628639368.95544,7237740807.941183,22871260953.09414,219680,22.87126095309414,286.6286393689554,53.292072927373894,10.0,51.0,79.2343748,51.2086975
14,EU,Europe,EU,Europe,563155991.3280035,584176583456.6077,14877363175.7931,47012467635.5062,4489586,47.012467635506205,584.1765834566077,563.1559913280036,10.0,51.0,0.0,51.0
15,EU,Europe,NA,North America,49538692.76585629,339946128695.9966,8610330978.06813,27208645890.695293,194819,27.208645890695294,339.94612869599655,49.53869276585629,10.0,51.0,-119.0,51.0000002
16,EU,Europe,OC,Oceania,108832.50666759856,1641189569.9760277,38277899.45911498,120958162.29080334,523,0.12095816229080335,1.6411895699760277,0.10883250666759858,10.0,51.0,163.7741688,-12.7725835
17,EU,Europe,SA,South America,3775769.0109532014,35832723410.388306,973356351.8970224,3075806071.9945908,15227,3.0758060719945908,35.83272341038831,3.7757690109532014,10.0,51.0,-71.00065649999999,-21.0002179
18,NA,North America,AF,Africa,359191.91161071864,3902588338.3117094,110629772.6993809,349590081.73004365,1397,0.3495900817300437,3.9025883383117095,0.3591919116107186,-109.0,51.0000002,7.7578122,11.5024338
19,NA,North America,AS,Asia,16438798.97752383,172881672367.05753,4664100472.789595,14738557494.01512,56138,14.738557494015119,172.88167236705752,16.43879897752383,-109.0,51.0000002,79.2343748,51.2086975
20,NA,North America,EU,Europe,48551040.22182531,334720656264.33655,8489748693.615241,26827605871.82416,190586,26.827605871824165,334.7206562643365,48.55104022182531,-109.0,51.0000002,0.0,51.0
21,NA,North America,NA,North America,640461234.7153492,1021301677694.1936,25953672152.545723,82013604002.0445,9140589,82.01360400204449,1021.3016776941937,640.4612347153492,-109.0,51.0000002,-119.0,51.0000002
22,NA,North America,OC,Oceania,3043998.86384742,35352554351.36915,924243786.0835681,2920610364.0240755,10470,2.9206103640240753,35.35255435136915,3.04399886384742,-109.0,51.0000002,163.7741688,-12.7725835
23,NA,North America,SA,South America,3505926.970472263,23709228597.548244,574021102.4301846,1813906683.6793833,15941,1.8139066836793833,23.709228597548243,3.5059269704722635,-109.0,51.0000002,-71.00065649999999,-21.0002179
24,OC,Oceania,AF,Africa,185799.37884556313,1833008994.1756687,56978561.5707011,180052254.56341547,581,0.18005225456341548,1.8330089941756689,0.18579937884556313,173.7741688,-12.7725835,7.7578122,11.5024338
25,OC,Oceania,AS,Asia,10599155.347557653,86383877776.90074,2258343936.0498266,7136366837.917453,35731,7.1363668379174525,86.38387777690073,10.599155347557653,173.7741688,-12.7725835,79.2343748,51.2086975
26,OC,Oceania,EU,Europe,758349.247805629,12511251204.01659,348476781.7256474,1101186630.2530458,2488,1.1011866302530458,12.51125120401659,0.7583492478056291,173.7741688,-12.7725835,0.0,51.0
27,OC,Oceania,NA,North America,2918711.3828503327,33846485989.71136,877533204.031087,2773004924.738235,10060,2.773004924738235,33.84648598971136,2.918711382850333,173.7741688,-12.7725835,-119.0,51.0000002
28,OC,Oceania,OC,Oceania,65012900.09621024,82274159677.53473,1995594913.8298764,6306079927.70241,698785,6.3060799277024095,82.27415967753473,65.01290009621025,173.7741688,-12.7725835,163.7741688,-12.7725835
29,OC,Oceania,SA,South America,50264.72975791776,534308799.49050546,13639917.807551024,43102140.27186123,175,0.04310214027186124,0.5343087994905055,0.05026472975791776,173.7741688,-12.7725835,-71.00065649999999,-21.0002179
30,SA,South America,AF,Africa,196720.43787027485,1367009524.0886667,34082547.745530754,107700850.8758772,831,0.1077008508758772,1.3670095240886666,0.19672043787027485,-61.0006565,-21.0002179,7.7578122,11.5024338
31,SA,South America,AS,Asia,342102.10201298964,4155867259.218281,115180311.76015891,363969785.16210216,1059,0.3639697851621022,4.15586725921828,0.34210210201298963,-61.0006565,-21.0002179,79.2343748,51.2086975
