,group_col,seats,ask,fuel_burn,co2,n_flights,CO2 (Mt),ASK (Bn),Seats (Mn),dep_lon,dep_lat,arr_lon,arr_lat,AV1,AV2
0,"('AF', 'AF')",3196006.701137934,3916786577.1357975,95768430.836447,302628241.4431725,26212,0.3026282414431725,3.9167865771357975,3.1960067011379336,17.7578122,11.5024338,17.7578122,11.5024338,AF,AF
1,"('AF', 'AS')",2889667.539157314,20337287753.663223,507882160.0664696,1604907625.810044,9384,1.604907625810044,20.337287753663222,2.889667539157314,17.7578122,11.5024338,89.2343748,51.2086975,AF,AS
2,"('AF', 'EU')",10054707.322502863,43804928021.79057,1127859310.3649817,3564035420.753342,52002,3.564035420753342,43.80492802179058,10.054707322502864,17.7578122,11.5024338,10.0,51.0,AF,EU
3,"('AF', 'NA')",617411.9636532711,6684266674.397429,188723704.5986097,596366906.5316066,2432,0.5963669065316066,6.6842666743974295,0.617411963653271,17.7578122,11.5024338,-109.0,51.0000002,AF,NA
4,"('AF', 'OC')",286547.9275687117,2805224906.0278883,87054397.86665617,275091897.2586335,902,0.2750918972586335,2.805224906027888,0.2865479275687117,17.7578122,11.5024338,173.7741688,-12.7725835,AF,OC
5,"('AF', 'SA')",397000.5791945479,2710125611.6028585,67331849.85467206,212768645.54076368,1624,0.2127686455407637,2.7101256116028587,0.3970005791945479,17.7578122,11.5024338,-61.0006565,-21.0002179,AF,SA
6,"('AS', 'AS')",178486825.29826337,333290621160.32153,8395321791.230765,26529216860.28922,961003,26.52921686028922,333.2906211603215,178.48682529826337,89.2343748,51.2086975,89.2343748,51.2086975,AS,AS
7,"('AS', 'EU')",98170633.43159284,533013705689.7039,13444391244.093615,42484276331.33582,400206,42.48427633133583,533.0137056897039,98.17063343159283,89.2343748,51.2086975,10.0,51.0,AS,EU
8,"('AS', 'NA')",29476235.993724465,308446565185.84357,8346346766.256636,26374455781.37097,100196,26.374455781370973,308.44656518584355,29.476235993724465,89.2343748,51.2086975,-109.0,51.0000002,AS,NA
9,"('AS', 'OC')",19452424.283360597,157282310251.69812,4098441146.8676457,12951074024.10176,66294,12.95107402410176,157.28231025169814,19.452424283360596,89.2343748,51.2086975,173.7741688,-12.7725835,AS,OC
10,"('AS', 'SA')",658881.515131934,8101709063.738508,225131450.1628934,711415382.5147432,2063,0.7114153825147432,8.10170906373851,0.658881515131934,89.2343748,51.2086975,-61.0006565,-21.0002179,AS,SA
11,"('EU', 'EU')",501751879.48714775,516595732988.3475,13127408299.77072,41482610227.275475,3765911,41.48261022727547,516.5957329883474,501.7518794871478,10.0,51.0,10.0,51.0,EU,EU
12,"('EU', 'NA')",89492274.81256904,613435858591.9657,15538397667.497408,49101336629.29181,351786,49.10133662929181,613.4358585919657,89.49227481256904,10.0,51.0,-109.0,51.0000002,EU,NA
13,"('EU', 'OC')",851623.8763469897,13905026069.432867,380165707.3772766,1201323635.312194,2869,1.2013236353121939,13.905026069432866,0.8516238763469897,10.0,51.0,173.7741688,-12.7725835,EU,OC
14,"('EU', 'SA')",6836690.393923205,65137864053.13963,1760917377.783395,5564498913.795529,27900,5.5644989137955285,65.13786405313964,6.836690393923206,10.0,51.0,-61.0006565,-21.0002179,EU,SA
15,"('NA', 'NA')",525895898.15319145,859188354017.7633,21570388479.347363,68162427594.73767,6010943,68.16242759473768,859.1883540177632,525.8958981531914,-109.0,51.0000002,-109.0,51.0000002,NA,NA
16,"('NA', 'OC')",5842720.952845328,67681462806.4874,1761382243.0248282,5565967887.958457,20059,5.5659678879584575,67.6814628064874,5.842720952845327,-109.0,51.0000002,173.7741688,-12.7725835,NA,OC
17,"('NA', 'SA')",5824407.481278665,41349771662.20113,1004079047.4111463,3172889789.8192225,25834,3.172889789819222,41.349771662201135,5.824407481278666,-109.0,51.0000002,-61.0006565,-21.0002179,NA,SA
18,"('OC', 'OC')",62047548.4193176,79159235870.20639,1911989836.603608,6041887883.667401,533274,6.041887883667401,79.15923587020639,62.04754841931761,173.7741688,-12.7725835,173.7741688,-12.7725835,OC,OC
19,"('OC', 'SA')",94624.65222814408,1003477398.4495096,25720503.138686746,81276789.91825011,319,0.08127678991825012,1.0034773984495096,0.09462465222814409,173.7741688,-12.7725835,-61.0006565,-21.0002179,OC,SA
20,"('SA', 'SA')",15441222.57091863,12371783531.511051,337674212.58312416,1067050511.7626723,115598,1.0670505117626723,12.371783531511051,15.44122257091863,-61.0006565,-21.0002179,-61.0006565,-21.0002179,SA,SA
