Name;ISO code;Geographic configuration;Geologic location;Area (km2)[4];Population [5];"Population
density
(per km2)";Geographical location;Establishment/ Independence
Antigua and Barbuda;AG;Two main islands (Antigua Island and Barbuda Island);Continental shelf;442;97,120;220;Caribbean Sea, Lesser Antilles;1981 November 1
Bahamas;BS;Archipelago;Continental shelf;13,939;389,480;28;Atlantic Ocean, Lucayan Archipelago;1973 July 10
Bahrain;BH;Archipelago (centered around Bahrain Island);Continental shelf;778;1,641,170;2,109;Persian Gulf;1971 December 10
Barbados;BB;One island;Continental shelf[n 3];430;287,020;667;Caribbean Sea, Lesser Antilles;1966 November 30
Brunei Darussalam;BN;Part of a larger island (Borneo);Continental shelf;5,765;433,290;75;Maritime Southeast Asia;1984 January 1
Cape Verde;CV;Archipelago;Oceanic;4,033;549,930;136;Atlantic Ocean, Macaronesia;1975 July 5
Comoros;KM;Archipelago;Oceanic;1,861;850,890;457;Indian Ocean, Africa, Comoros Islands;1975 July 6
Cuba;CU;One main island, and several smaller islands (Isla de la Juventud, etc.);Continental shelf;109,884;11,346,346;103;Caribbean Sea, Greater Antilles;"1868 October 10 
 1902 May 20"
Cyprus;CY;Part of a larger island, de jure sovereignty over entire island (Cyprus);Continental shelf;9,251;888,005;96;Mediterranean Sea;1960 August 16
Dominica;DM;One island;Continental shelf;754;71,810;95;Caribbean Sea, Lesser Antilles;1978 November 3
Dominican Republic;DO;Part of a larger island (Hispaniola), and several smaller islands (Alto Velo, Catalina, Saona, Beata, etc.);Continental shelf;48,671;10,738,960;221;Caribbean Sea, Greater Antilles;"1821 December 1 
 1844 February 27"
East Timor;TL;Part of a larger island (Timor);Oceanic;14,919;1,293,120;87;Maritime Southeast Asia, Lesser Sunda Islands;2002 May 20
Fiji;FJ;Archipelago;Oceanic;18,274;889,950;49;Pacific Ocean, Melanesia;1970 October 10
Grenada;GD;One main island, two dependencies (Carriacou and Petite Martinique);Continental shelf;344;112,000;326;Caribbean Sea, Lesser Antilles;1974 February 7
Haiti;HT;Part of a larger island (Hispaniola), and several smaller islands (Gonâve, Tortuga, Les Cayemites, etc.);Continental shelf;27,750;11,743,017;423;Caribbean Sea, Greater Antilles;1804 January 1
Iceland;IS;One main island;Oceanic[n 5];102,775;361,310;4;Atlantic Ocean, Arctic Circle;"1918 December 1 
 1944 June 17"
Indonesia;ID;Archipelago, including parts of larger islands (Borneo, New Guinea, Sebatik, and Timor);Various[n 6];1,904,569;270,625,570;142;Maritime Southeast Asia, Indian and Pacific oceans;1945 August 17
Ireland;IE;Part of a larger island (Ireland), and several smaller islands;Continental shelf;70,273;4,977,400;71;Atlantic Ocean, British Isles;1922 December 6
Jamaica;JM;One main island, and several small islands (Port Royal Cays, etc.);Continental shelf;10,991;2,734,092;249;Caribbean Sea, Greater Antilles;1962 August 6
Japan;JP;Archipelago (Japanese Archipelago);Continental shelf;377,976 [6];126,264,930;334;Pacific Ocean, East Asia;660 BC February 11 [n 7]
Kiribati;KI;Archipelago;Oceanic;811;117,610;145;Pacific Ocean, Micronesia;1979 July 12
Madagascar;MG;One main island;Continental shelf [n 8];587,041;26,969,310;46;Indian Ocean, Africa;1960 June 26
Maldives;MV;Archipelago;Oceanic;298;383,976;1,289;Indian Ocean, Laccadive Sea;1965 July 26
Malta;MT;Two main islands (Malta Island and Gozo) plus other smaller islands;Continental shelf;316;502,650;1,591;Mediterranean Sea;1964 September 21
Marshall Islands;MH;Archipelago;Oceanic;181;58,790;325;Pacific Ocean, Micronesia;1979 May 1
Mauritius;MU;Archipelago;Oceanic;2,040;1,265,710;620;Indian Ocean, Africa, Mascarene Islands;1968 March 12
Micronesia, Federated States of;FM;Archipelago;Oceanic;702;113,810;162;Pacific Ocean, Micronesia;1979 May 10
Nauru;NR;One island;Oceanic;21;12,580;599;Pacific Ocean, Micronesia;1968 January 31
New Zealand;NZ;Two main islands (North Island and South Island) plus other smaller islands;Continental shelf [n 10];270,467;5,125,451;19;Pacific Ocean, Polynesia;1907 September 26
Palau;PW;Archipelago;Oceanic;459;18,010;39;Pacific Ocean, Micronesia;1981 January 1
Papua New Guinea;PG;Part of a larger island (New Guinea), and several smaller islands;Continental shelf;462,840;8,776,110;19;Pacific Ocean, Melanesia;1975 September 16
Philippines;PH;Archipelago;Continental shelf;300,000;108,116,620;360;Maritime Southeast Asia;"1898 June 12 
 1946 July 4"
Saint Kitts and Nevis;KN;Two main islands (Saint Kitts Island and Nevis Island);Continental shelf;261;52,830;202;Caribbean Sea, Lesser Antilles;1983 September 19
Saint Lucia;LC;One main island;Continental shelf;616;182,790;297;Caribbean Sea, Lesser Antilles;1979 February 22
Saint Vincent and the Grenadines;VC;Archipelago;Continental shelf;389;110,590;284;Caribbean Sea, Lesser Antilles;1979 October 27
Samoa;WS;Archipelago;Oceanic;2,842;197,100;69;Pacific Ocean, Polynesia;1962 January 1
São Tomé and Príncipe;ST;Two main islands (São Tomé Island and Príncipe Island);Continental shelf;1,001;215,060;215;Atlantic Ocean, Gulf of Guinea, Africa;1975 July 12
Seychelles;SC;Archipelago;Various[n 11];455;97,630;215;Indian Ocean, Africa;1976 June 29
Singapore;SG;One main island, plus other smaller islands;Continental shelf;728;5,703,570;7,831;Maritime Southeast Asia;1965 August 9
Solomon Islands;SB;Archipelago;Oceanic;28,400;669,820;24;Pacific Ocean, Melanesia;1978 July 7
Sri Lanka;LK;One main island, plus other small islands;Continental shelf;65,610;21,803,000;332;Indian Ocean, South Asia;1948 February 4
Tonga;TO;Archipelago;Oceanic;748;104,490;140;Pacific Ocean, Polynesia;1970 June 4
Trinidad and Tobago;TT;Two main islands (Trinidad Island and Tobago Island) plus other smaller islands;Continental shelf;5,131;1,394,970;272;Caribbean Sea, Lesser Antilles;1962 August 31
Tuvalu;TV;Archipelago;Oceanic;26;11,650;448;Pacific Ocean, Polynesia;1978 October 1
United Kingdom;GB;One main island, part of second island (Ireland), plus several minor islands;Continental shelf;244,820;67,886,004;277;Atlantic Ocean, British Isles;1707 May 1
Vanuatu;VU;Archipelago;Oceanic;12,189;299,880;25;Pacific Ocean, Melanesia;1980 July 30
Northern Cyprus;CY;Part of a larger island (Cyprus);Continental shelf;3,355;313,626[8];93;Mediterranean Sea;1974 July 20
Taiwan;TW;One main island, and several smaller islands;Continental shelf;36,193;23,603,121;652;Pacific Ocean, East Asia;"1912 January 1 
 1949 December 7 [n 14]"
