,departure_continent,departure_continent_name,arrival_continent,arrival_continent_name,seats,ask,fuel_burn,co2,CO2 (Mt),ASK (Bn),Seats (Mn),dep_lon,dep_lat,arr_lon,arr_lat
0,AF,Africa,AF,Africa,93709655.90576866,99373800830.1006,2625928875.4577374,8297935246.44645,8.29793524644645,99.37380083010059,93.70965590576867,17.7578122,11.5024338,7.7578122,11.5024338
1,AF,Africa,AS,Asia,24131170.241121896,83759134208.86691,1991013841.9663565,6291603740.613687,6.291603740613686,83.75913420886691,24.131170241121897,17.7578122,11.5024338,79.2343748,51.2086975
2,AF,Africa,EU,Europe,63364702.43188563,200263713841.62878,4554295711.270557,14391574447.614962,14.391574447614962,200.26371384162877,63.36470243188563,17.7578122,11.5024338,0.0,51.0
3,AF,Africa,NA,North America,1883998.2678185748,17430453804.955482,446843865.4781028,1412026614.910805,1.412026614910805,17.430453804955484,1.883998267818575,17.7578122,11.5024338,-119.0,51.0000002
4,AF,Africa,OC,Oceania,234813.93599999996,2201038925.384476,57627369.829215884,182102488.6603222,0.1821024886603222,2.2010389253844758,0.23481393599999995,17.7578122,11.5024338,163.7741688,-12.7725835
5,AF,Africa,SA,South America,559250.5069468577,4059008163.3939843,98486698.12852149,311217966.08612794,0.3112179660861279,4.059008163393984,0.5592505069468577,17.7578122,11.5024338,-71.00065649999999,-21.0002179
6,AS,Asia,AF,Africa,24131170.241121896,83759134208.86691,1991013841.9663565,6291603740.613687,6.291603740613686,83.75913420886691,24.131170241121897,89.2343748,51.2086975,7.7578122,11.5024338
7,AS,Asia,AS,Asia,2012099795.1779869,2876875568992.0854,71831686677.57465,226988129901.1359,226.9881299011359,2876.8755689920854,2012.0997951779868,89.2343748,51.2086975,79.2343748,51.2086975
8,AS,Asia,EU,Europe,153873634.32371435,649037937829.4214,15629426963.429987,49388989204.43876,49.388989204438765,649.0379378294214,153.87363432371436,89.2343748,51.2086975,0.0,51.0
9,AS,Asia,NA,North America,29007118.886487458,314407220470.1493,8633366793.018948,27281439065.939877,27.281439065939875,314.4072204701493,29.007118886487458,89.2343748,51.2086975,-119.0,51.0000002
10,AS,Asia,OC,Oceania,24993158.925584443,176047561897.71198,4413026119.905829,13945162538.902424,13.945162538902423,176.047561897712,24.993158925584446,89.2343748,51.2086975,163.7741688,-12.7725835
11,AS,Asia,SA,South America,626067.0263043811,7747617788.566826,214485923.0487555,677775516.8340675,0.6777755168340674,7.747617788566826,0.626067026304381,89.2343748,51.2086975,-71.00065649999999,-21.0002179
12,EU,Europe,AF,Africa,63364702.43188563,200263713841.62878,4554295711.270557,14391574447.614962,14.391574447614962,200.26371384162877,63.36470243188563,10.0,51.0,7.7578122,11.5024338
13,EU,Europe,AS,Asia,153873634.32371435,649037937829.4214,15629426963.429987,49388989204.43876,49.388989204438765,649.0379378294214,153.87363432371436,10.0,51.0,79.2343748,51.2086975
