,group_col,seats,ask,fuel_burn,co2,CO2 (Mt),ASK (Bn),Seats (Mn),dep_lon,dep_lat,arr_lon,arr_lat,AV1,AV2
0,"('AF', 'AF')",93709655.90576866,99373800830.1006,2625928875.4577374,8297935246.44645,8.29793524644645,99.37380083010059,93.70965590576867,17.7578122,11.5024338,17.7578122,11.5024338,AF,AF
1,"('AF', 'AS')",48262340.4822438,167518268417.73383,3982027683.932713,12583207481.227373,12.583207481227372,167.51826841773382,48.26234048224379,17.7578122,11.5024338,89.2343748,51.2086975,AF,AS
2,"('AF', 'EU')",126729404.86377126,400527427683.25757,9108591422.541115,28783148895.229923,28.783148895229925,400.52742768325754,126.72940486377126,17.7578122,11.5024338,10.0,51.0,AF,EU
3,"('AF', 'NA')",3767996.5356371496,34860907609.910965,893687730.9562056,2824053229.82161,2.82405322982161,34.86090760991097,3.76799653563715,17.7578122,11.5024338,-109.0,51.0000002,AF,NA
4,"('AF', 'OC')",469627.8719999999,4402077850.768952,115254739.65843177,364204977.3206444,0.3642049773206444,4.4020778507689515,0.4696278719999999,17.7578122,11.5024338,173.7741688,-12.7725835,AF,OC
5,"('AF', 'SA')",1118501.0138937153,8118016326.787969,196973396.25704297,622435932.1722559,0.6224359321722558,8.118016326787968,1.1185010138937153,17.7578122,11.5024338,-61.0006565,-21.0002179,AF,SA
6,"('AS', 'AS')",2012099795.1779869,2876875568992.0854,71831686677.57465,226988129901.1359,226.9881299011359,2876.8755689920854,2012.0997951779868,89.2343748,51.2086975,89.2343748,51.2086975,AS,AS
7,"('AS', 'EU')",307747268.6474287,1298075875658.8428,31258853926.859974,98777978408.87752,98.77797840887753,1298.0758756588427,307.7472686474287,89.2343748,51.2086975,10.0,51.0,AS,EU
8,"('AS', 'NA')",58014237.772974916,628814440940.2986,17266733586.037895,54562878131.87975,54.56287813187975,628.8144409402986,58.014237772974916,89.2343748,51.2086975,-109.0,51.0000002,AS,NA
9,"('AS', 'OC')",49986317.851168886,352095123795.42395,8826052239.811659,27890325077.804848,27.890325077804846,352.095123795424,49.98631785116889,89.2343748,51.2086975,173.7741688,-12.7725835,AS,OC
10,"('AS', 'SA')",1252134.0526087622,15495235577.133652,428971846.09751105,1355551033.668135,1.355551033668135,15.495235577133652,1.252134052608762,89.2343748,51.2086975,-61.0006565,-21.0002179,AS,SA
11,"('EU', 'EU')",1023187863.6901423,1107244282780.349,27484263271.165802,86850271936.88394,86.85027193688394,1107.244282780349,1023.1878636901423,10.0,51.0,10.0,51.0,EU,EU
12,"('EU', 'NA')",132987596.24750073,938121312069.0854,23770295164.088364,75114132718.51923,75.11413271851923,938.1213120690855,132.98759624750073,10.0,51.0,-109.0,51.0000002,EU,NA
13,"('EU', 'OC')",882955.6762926356,14536812820.302248,433875746.0570597,1371047357.5403087,1.3710473575403088,14.536812820302247,0.8829556762926356,10.0,51.0,173.7741688,-12.7725835,EU,OC
14,"('EU', 'SA')",19479130.800487988,178499603747.8142,4546862533.075312,14368085604.517984,14.368085604517985,178.4996037478142,19.479130800487987,10.0,51.0,-61.0006565,-21.0002179,EU,SA
15,"('NA', 'NA')",1258925739.3240118,1811721383187.4707,45864220038.576805,144930935321.9027,144.93093532190272,1811.7213831874706,1258.9257393240118,-109.0,51.0000002,-109.0,51.0000002,NA,NA
16,"('NA', 'OC')",28577845.248189032,179489152267.94815,4379332443.869908,13838690522.628912,13.838690522628912,179.48915226794813,28.577845248189032,-109.0,51.0000002,173.7741688,-12.7725835,NA,OC
17,"('NA', 'SA')",38044516.35275483,157290342861.70688,3813027214.070008,12049165996.461226,12.049165996461225,157.29034286170688,38.044516352754826,-109.0,51.0000002,-61.0006565,-21.0002179,NA,SA
18,"('OC', 'OC')",128069866.37820727,148245157620.05045,3841258174.632452,12138375831.838549,12.138375831838548,148.24515762005043,128.06986637820728,173.7741688,-12.7725835,173.7741688,-12.7725835,OC,OC
19,"('OC', 'SA')",641578.6439999996,6829141290.100153,184198208.70238057,582066339.4995227,0.5820663394995227,6.829141290100154,0.6415786439999995,173.7741688,-12.7725835,-61.0006565,-21.0002179,OC,SA
20,"('SA', 'SA')",235647431.18590537,236285453430.03973,6381929643.087334,20166897672.155975,20.166897672155972,236.28545343003972,235.64743118590536,-61.0006565,-21.0002179,-61.0006565,-21.0002179,SA,SA
