,departure_continent,departure_continent_name,inside,dep_lon,dep_lat,seats,ask,fuel_burn,co2,n_flights,CO2 (Mt),ASK (Bn),Seats (Mn)
0,AF,Africa,False,17.7578122,11.5024338,8901702.223577578,48981338110.66071,1263229205.5209246,3991804289.446121,40689,3.9918042894461214,48.98133811066071,8.901702223577576
1,AF,Africa,True,17.7578122,11.5024338,3459808.764228356,4159493881.398495,102655267.56106532,324390645.4929664,32448,0.3243906454929664,4.159493881398495,3.459808764228356
2,AS,Asia,False,89.2343748,51.2086975,82591021.86682127,552524718691.1091,14263394001.740702,45072325045.50062,319276,45.07232504550062,552.5247186911091,82.59102186682127
3,AS,Asia,True,89.2343748,51.2086975,194260064.62190634,358424106696.7211,9071725956.89748,28666654023.796036,1057622,28.666654023796035,358.4241066967211,194.26006462190634
4,EU,Europe,False,10.0,51.0,112134547.27431871,688316455995.5319,17489748425.01178,55267605023.037224,457812,55.26760502303723,688.3164559955318,112.1345472743187
5,EU,Europe,True,10.0,51.0,563155991.3280035,584176583456.6077,14877363175.7931,47012467635.5062,4489586,47.012467635506205,584.1765834566077,563.1559913280036
6,NA,North America,False,-109.0,51.0000002,71898956.94527954,570566699918.6232,14762743827.61797,46650270495.27278,274532,46.650270495272785,570.5666999186232,71.89895694527955
7,NA,North America,True,-109.0,51.0000002,640461234.7153492,1021301677694.1936,25953672152.545723,82013604002.0445,9140589,82.01360400204449,1021.3016776941937,640.4612347153492
8,OC,Oceania,False,173.7741688,-12.7725835,14512280.086817095,135108932764.29488,3554972401.184813,11233712787.74401,49035,11.233712787744011,135.10893276429485,14.512280086817096
9,OC,Oceania,True,173.7741688,-12.7725835,65012900.09621024,82274159677.53473,1995594913.8298764,6306079927.70241,698785,6.3060799277024095,82.27415967753473,65.01290009621025
10,SA,South America,False,-61.0006565,-21.0002179,7495835.756926999,63070019612.93526,1636273703.2967668,5170624902.417783,31929,5.170624902417782,63.07001961293526,7.495835756926999
11,SA,South America,True,-61.0006565,-21.0002179,21198872.731151577,19187892871.206825,501865703.1972738,1585895622.1033852,169185,1.5858956221033853,19.187892871206824,21.198872731151575
